t,x,y,phi_rad,vx_body,vy_body,omega_rad_s,throttle,steering_angle_rad
6647.944355,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.048924,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.151478,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.253667,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.354166,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.458107,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.567358,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.654265,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.756802,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.857083,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6648.958390,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.057795,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.160052,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.260557,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.365406,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.467824,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.544347,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.657145,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.756627,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.860528,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6649.960481,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.064513,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.165870,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.265882,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.368039,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.468271,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.568918,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.670757,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.770340,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.846286,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6650.947510,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.000000,0.000000
6651.050622,299.399994,129.750000,3.141588,0.000000,-0.000000,-0.000000,0.050000,0.000000
6651.153039,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.050000,0.000000
6651.258423,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.050000,0.000000
6651.364776,299.399994,129.750000,3.141588,0.000000,0.000000,0.000000,0.100000,0.000000
6651.467969,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.100000,0.000000
6651.547199,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.150000,0.000000
6651.649335,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.150000,0.000000
6651.750372,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.150000,0.000000
6651.857354,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.200000,0.000000
6651.958351,299.399994,129.750000,3.141588,-0.000000,0.000000,0.000000,0.200000,0.000000
6652.059291,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.200000,0.000000
6652.165096,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.250000,0.000000
6652.266961,299.399994,129.750000,3.141588,0.000000,-0.000000,0.000000,0.250000,0.000000
6652.367880,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.250000,0.000000
6652.447469,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.300000,0.000000
6652.548400,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.300000,0.000000
6652.649026,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.300000,0.000000
6652.752310,299.399994,129.750000,3.141588,-0.000000,0.000000,-0.000000,0.350000,0.000000
6652.854538,299.399994,129.750000,3.141588,-0.000000,-0.000000,-0.000000,0.350000,0.000000
6652.955042,299.385925,129.749985,3.141584,0.427617,0.000013,-0.000029,0.350000,0.000000
6653.062331,299.310547,129.749985,3.141581,0.832114,0.000013,-0.000035,0.400000,0.000000
6653.146413,299.232788,129.749985,3.141569,0.977983,0.000005,-0.000069,0.400000,0.000000
6653.248925,299.131378,129.749985,3.141568,1.014184,0.000001,-0.000022,0.400000,0.000000
6653.349927,299.029083,129.749985,3.141570,1.006361,-0.000009,0.000041,0.400000,0.000000
6653.455141,298.919586,129.750015,-3.141558,1.074211,0.000038,0.002676,0.400000,0.000000
6653.559172,298.805359,129.750031,-3.141525,1.109140,-0.000028,-0.000078,0.400000,0.000000
6653.661815,298.686859,129.750015,-3.141543,1.187619,-0.000020,0.000428,0.400000,0.000000
6653.766434,298.559967,129.750015,-3.141545,1.231613,0.000013,-0.000006,0.400000,0.000000
6653.867636,298.431061,129.750015,-3.141548,1.298196,0.000005,-0.000006,0.400000,0.000000
6653.946281,298.326416,129.750015,-3.141552,1.359257,0.000006,-0.000082,0.450000,0.000000
6654.048505,298.184143,129.750015,-3.141559,1.442626,0.000007,-0.000018,0.450000,0.000000
6654.150379,298.033325,129.750000,-3.141559,1.527639,0.000001,-0.000004,0.450000,0.000000
6654.250581,297.876160,129.750000,-3.141559,1.613607,-0.000000,-0.000004,0.450000,0.000000
6654.351854,297.709167,129.750000,-3.141559,1.691980,-0.000001,-0.000003,0.450000,0.000000
6654.454309,297.532562,129.750000,-3.141559,1.764596,-0.000001,-0.000003,0.450000,0.000000
6654.556455,297.348816,129.750000,-3.141559,1.838381,-0.000001,-0.000004,0.450000,0.000000
6654.658737,297.157990,129.750000,-3.141560,1.911302,-0.000000,-0.000003,0.450000,0.000000
6654.762535,296.956635,129.750000,-3.141560,1.972119,-0.000000,-0.000003,0.450000,0.000000
6654.844300,296.794495,129.750000,-3.141560,1.994386,0.000000,0.000000,0.450000,0.000000
6654.955550,296.569183,129.750000,-3.141560,2.041875,-0.000000,-0.000001,0.450000,0.000000
6655.062536,296.346222,129.750000,-3.141560,2.116641,-0.000000,-0.000001,0.500000,0.000000
6655.169544,296.114655,129.750000,-3.141561,2.207297,0.000000,-0.000002,0.500000,0.000000
6655.270274,295.885712,129.750000,-3.141561,2.322876,-0.000000,-0.000002,0.500000,0.000000
6655.349139,295.699127,129.750000,-3.141561,2.402202,-0.000000,-0.000004,0.500000,0.000000
6655.451110,295.448486,129.750000,-3.141562,2.509227,-0.000000,-0.000004,0.500000,0.000000
6655.554624,295.183380,129.750000,-3.141562,2.613887,-0.000001,-0.000004,0.500000,0.000000
6655.659635,294.903748,129.750000,-3.141563,2.719779,0.000000,-0.000004,0.500000,0.000000
6655.767412,294.605621,129.750000,-3.141563,2.828488,0.000000,-0.000004,0.500000,0.000000
6655.870515,294.307526,129.750000,-3.141563,2.950229,0.000001,-0.000004,0.500000,0.000000
6655.949778,294.069946,129.750000,-3.141563,3.033553,0.000000,-0.000003,0.550000,0.000000
6656.050136,293.756439,129.750000,-3.141564,3.196960,0.000000,-0.000004,0.550000,0.000000
6656.153102,293.418121,129.750000,-3.141564,3.364737,-0.000001,-0.000005,0.550000,0.000000
6656.254534,293.066895,129.750000,-3.141565,3.542956,-0.000000,-0.000005,0.550000,0.000000
6656.358720,292.687775,129.750000,-3.141566,3.721716,0.000001,-0.000005,0.550000,0.000000
6656.462966,292.289429,129.750000,-3.141566,3.903434,0.000000,-0.000005,0.550000,0.000000
6656.567209,291.872498,129.750000,-3.141566,4.079851,-0.000001,-0.000005,0.550000,0.000000
6656.668653,291.449310,129.750000,-3.141567,4.248573,-0.000001,-0.000006,0.550000,0.000000
6656.745094,291.119171,129.750000,-3.141568,4.374864,0.000002,-0.000006,0.550000,0.000000
6656.846960,290.664276,129.750000,-3.141568,4.542485,-0.000001,-0.000006,0.550000,0.000000
6656.947560,290.198303,129.750000,-3.141568,4.707426,-0.000002,-0.000006,0.550000,0.000000
6657.052828,289.693146,129.753021,3.139445,4.873844,-0.112569,-0.067352,0.550000,-0.030000
6657.154772,289.187378,129.767075,3.130572,5.036879,-0.158737,-0.094396,0.550000,-0.030000
6657.259056,288.658966,129.787308,3.120518,5.042282,-0.156359,-0.098007,0.550000,-0.030000
6657.361521,288.135254,129.812531,3.110651,5.140454,-0.161132,-0.066548,0.550000,-0.030000
6657.442674,287.720184,129.836349,3.103471,5.095373,-0.157973,-0.135599,0.550000,-0.030000
6657.559378,287.132874,129.874435,3.092458,5.005566,-0.148605,-0.154440,0.550000,-0.030000
6657.645845,286.686493,129.907898,3.084072,5.333459,-0.163520,-0.052450,0.550000,-0.030000
6657.749038,286.139587,129.955902,3.071390,5.313963,-0.247719,-0.116902,0.550000,-0.060000
6657.850808,285.600647,130.019012,3.052551,5.351806,-0.301227,-0.153848,0.550000,-0.060000
6657.955091,285.044281,130.096664,3.031409,5.415397,-0.310002,-0.163378,0.550000,-0.060000
6658.055875,284.498932,130.184570,3.010439,5.533345,-0.316473,-0.171481,0.550000,-0.060000
6658.163271,283.909851,130.292542,2.987713,5.624751,-0.318342,-0.168303,0.550000,-0.060000
6658.267572,283.328949,130.412460,2.965367,5.745167,-0.323373,-0.177046,0.550000,-0.060000
6658.347768,282.875977,130.515030,2.947435,5.825658,-0.322527,-0.263303,0.550000,-0.060000
6658.453607,282.269806,130.665482,2.923938,5.945725,-0.325472,-0.270488,0.550000,-0.060000
6658.562076,281.641571,130.837082,2.899386,6.055686,-0.328488,-0.271161,0.550000,-0.060000
6658.670809,281.001068,131.018311,2.881397,6.182612,-0.185402,-0.180353,0.550000,-0.030000
6658.748547,280.534821,131.154480,2.871716,6.299202,-0.175268,-0.085191,0.550000,-0.030000
6658.855748,279.880890,131.353088,2.858644,6.419274,-0.173269,-0.075148,0.550000,-0.030000
